Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Colour Family,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
wooden-file-super-thin-100-100-with-logo,Wooden File Super thin 100/100 with Logo,"<p>Lima professionale di alta qualità, ideale per modellare, levigare e rifinire unghie naturali, gel e ricostruzioni con precisione.</p>",GEL.IT.UP Italy,,,,TRUE,Title,Default Title,,,,,,,,Wooden File Super thin 100/100 with Logo,0,shopify,0,deny,manual,0.72,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/Nail_Files_Buffer_180-180_Pink_Sponge.webp?v=1777729155,1,,FALSE,,,,kg,,,active
super-flash-top-coat-11ml-htf,Super Flash Top Coat 11ml -HTF,<p>Bellissimi glitter top coat per un finish finale luminoso e impeccabile.</p>,GEL.IT.UP Italy,,,,TRUE,Title,Default Title,,,,,,,,Super Flash Top Coat 11ml -HTF,11000,shopify,0,deny,manual,11.52,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/Non_Wipe_Top_Coat_15ml_-HTF.webp?v=1777730607,1,,FALSE,,,,kg,,,active
ss01-spix-and-spex-kaleidascope-htf,SS01 SPIX and SPEX Kaleidascope -HTF,"<p>Tutti i gel polish devono essere polimerizzati per almeno 60 secondi, poiché sono TPO-free.</p>",GEL.IT.UP Italy,,,Gel Polish,TRUE,Title,Default Title,,,,,,,,SS01 SPIX and SPEX Kaleidascope -HTF,11000,shopify,0,deny,manual,8.32,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/download_dfe07ee6-dbda-43f4-92d6-1db5933a0374.webp?v=1777740715,1,,FALSE,,,,kg,,,active
sd-1934-nail-decals-french-black,SD-1934 Nail Decals French - Black,,GEL.IT.UP Italy,,,,TRUE,Title,Default Title,,,,,,,,SD-1934 Nail Decals French - Black,0,shopify,0,deny,manual,4.41,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/download_d1a5c61f-12fe-49c3-8618-a8a32edeeb94.webp?v=1777740746,1,,FALSE,,,,kg,,,active
sd-1933-nail-decals-french-white,SD-1933 Nail Decals French - White,,GEL.IT.UP Italy,,,,TRUE,Title,Default Title,,,,,,,,SD-1933 Nail Decals French - White,0,shopify,0,deny,manual,4.41,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/download_c5d8f898-452d-4af4-9e1d-280004390e4c.webp?v=1777740744,1,,FALSE,,,,kg,,,active
professional-premium-cuticle-nipper-oval-round-fine-cut-3mm-2120-new,"Professional Premium Cuticle Nipper, Oval Round Fine Cut – 3mm 2120 New",,GEL.IT.UP Italy,,,,TRUE,Title,Default Title,,,,,,,,"Professional Premium Cuticle Nipper, Oval Round Fine Cut – 3mm 2120 New",0,shopify,0,deny,manual,13.12,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/download_343f11bc-c99e-4400-b96c-33e41477e22b.webp?v=1777740678,1,,FALSE,,,,kg,,,active
professional-premium-cuticle-nipper-oval-fine-cut-3mm-2119-new,"Professional Premium Cuticle Nipper, Oval Fine Cut – 3mm 2119 New",,GEL.IT.UP Italy,,,,TRUE,Title,Default Title,,,,,,,,"Professional Premium Cuticle Nipper, Oval Fine Cut – 3mm 2119 New",0,shopify,0,deny,manual,12.83,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/download_e191bc6b-a565-4a65-9494-eb8ffac2dc8e.webp?v=1777740610,1,,FALSE,,,,kg,,,active
professional-premium-cuticle-nipper-fine-cut-5mm-2117-new,"Professional Premium Cuticle Nipper, Fine Cut – 5mm 2117 New",,GEL.IT.UP Italy,,,,TRUE,Title,Default Title,,,,,,,,"Professional Premium Cuticle Nipper, Fine Cut – 5mm 2117 New",0,shopify,0,deny,manual,13.12,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/06._CUTICLE_NIPPER_FINE_CUT.webp?v=1777733828,1,,FALSE,,,,kg,,,active
professional-cuticle-scissors-curved-1466-new,"Professional Cuticle Scissors, Curved 1466 New",,GEL.IT.UP Italy,,,,TRUE,Title,Default Title,,,,,,,,"Professional Cuticle Scissors, Curved 1466 New",0,shopify,0,deny,manual,19.7,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/download_7b2a6f3a-2c78-401f-ba93-7f27f87090d1.webp?v=1777740739,1,,FALSE,,,,kg,,,active
premium-builder-gel-nude-ii-40gr-htf,Premium Builder Gel Nude II 40gr -HTF,"<p>GEL.IT.UP 3-in-1 Premium è un builder gel monofasico con fibre di vetro, studiato per offrire massima resistenza strutturale e lunga durata. Ideale per il rinforzo dell’unghia naturale e per ricostruzioni. Si applica con precisione, non cola e non ingiallisce nel tempo. Non richiede base coat prima dell’applicazione. Perfetto per nail technician che cercano struttura prevedibile, controllo dell’adesione e performance professionale. Benefici principali: rinforzo con fibre di vetro, sistema monofasico, comfort cool-cure e formula 100% HEMA/TPO-free. Applicazione: applicare direttamente sull’unghia preparata, modellare la struttura desiderata e polimerizzare per almeno 60 secondi.</p>",GEL.IT.UP Italy,,,,TRUE,Title,Default Title,,,,,,,,Premium Builder Gel Nude II 40gr -HTF,40000,shopify,0,deny,manual,24.45,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0947/5545/5242/files/3_in_1_premium_builder_gel_nude.webp?v=1777733197,1,,FALSE,,,,kg,,,active
